inst_id,OC,sido,sgg,openDate,bedCount,instkind,revenue1,salescost1,sga1,salary1,noi1,noe1,interest1,ctax1,profit1,liquidAsset1,quickAsset1,receivableS1,inventoryAsset1,nonCAsset1,tanAsset1,OnonCAsset1,receivableL1,debt1,liquidLiabilities1,shortLoan1,NCLiabilities1,longLoan1,netAsset1,surplus1,revenue2,salescost2,sga2,salary2,noi2,noe2,interest2,ctax2,profit2,liquidAsset2,quickAsset2,receivableS2,inventoryAsset2,nonCAsset2,tanAsset2,OnonCAsset2,receivableL2,debt2,liquidLiabilities2,shortLoan2,NCLiabilities2,longLoan2,netAsset2,surplus2,employee1,employee2,ownerChange
25,open,incheon,140,20080924,143,hospital,66977875101,0,65577844107,27833843744,225875258,2446763579,1324953766,0,-820857327,11265292426,9778297467,8593225247,1486994959,54168775909,49417225654,1967043763,0,57951971241,34959588443,10953178838,22992382798,1.36E+10,7482097094,0,63150222225,0,60434034997,25473400923,84993235,2336196225,1386481533,97081740,367902498,9277325453,7839075785,4344648051,1438249668,58361648331,50474603648,5023822600,0,57939482777,29351349870,11042242270,28588132907,25167015159,9699491007,0,209,209,same
26,open,ulsan,127,20160531,237,general_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,901,same
27,open,ulsan,127,19810622,526,general_hospital,1.24E+11,35743130029,91327949038,57788136980,1314452222,1570602979,896998857,137870752,-3753817012,19014833155,18872481981,15862433,142351174,56557453510,45434143230,10085168680,0,74703721975,39373879374,10348327418,35329842601,13094314767,868564690,0,1.06E+11,31538714184,77999052487,47801058040,1277650060,1509925077,765308352,614884390,-4064822885,19281545729,19221242286,32955720,60303443,57000532120,47710628640,8767966280,0,71659696147,36810665598,9353486462,34849030549,15362446837,4622381702,0,951,901,same
33,open,seoul,3,19820329,181,general_hospital,15690699439,0,15690319472,8142441296,511215199,2474767666,319704982,0,-1963172500,3712671845,3689155191,100333900,23516654,18108427179,16383766379,1666949800,0,18712566017,15422489774,8857822253,3290076243,0,3108533007,0,14686578410,0,14668636015,7776280840,279872271,696027827,325310528,0,-398213161,3863426882,3844125823,128808910,19301059,19362338743,17159650943,1652406800,0,18154060118,16534060118,9490786213,1.62E+09,0,5071705507,0,183,171,change
34,open,incheon,138,20121231,243,general_hospital,38928596428,8449315118,28736229589,18880365145,237324276,1543529755,1042222917,39631614,397214628,22844745285,22361993468,4761274747,482751817,88445094022,85990066982,2422999400,0,52131881696,20477144584,8732077001,31654737112,26882166680,59157957611,922085940,36233792174,8510962520,26393288884,17523260061,228787705,1143289166,998216798,83505356,331533953,23422373579,22848488681,3615003389,573884898,75752871876,73224607110,2484777400,0,40414502472,18865481253,7790456042,21549021219,18226666672,58760742983,524871312,409,328,change
35,open,daejeon,49,20120103,291,nursing_hospital,6857075503,316104702,6011691943,2849657910,26235813,513877434,88591452,61504280,-19867043,819400069,788366733,729715174,31033336,13166710760,13160549820,5.00E+06,0,0,13160549820,8692294160,0,0,0,724226716,4567259957,212190276,3785693521,1930829961,42542552,345057952,47183083,41105761,225754999,496786330,496786330,470735010,0,13600147868,13598599948,0,0,0,13598599948,8725664160,0,0,0,744093759,42,42,same
36,open,seoul,77,19940622,195,general_hospital,22920991463,0,23161528038,10521716794,1619736486,1161622440,357708193,80621490,136955981,5808388270,5412264543,2150485227,396123727,16709736766,13949663315,2057226000,0,15436165283,13579003753,8642538015,1857161530,7.00E+08,7081959753,5011010300,21974122529,0,21464413685,9651965549,366705342,548014805,392175790,8673777,319725604,3358457091,2975159272,2000561307,383297819,15672943991,13110473001,2057226000,0,15646251824,14377648914,9404998933,1268602910,194350000,3385149258,0,194,194,same
37,open,daegu,44,20050926,167,hospital,17096005437,1148889637,15517999341,8231830104,22507591,474517882,472039090,0,-22893832,2292087499,2225171415,72036,66916084,18698943512,15801073664,2897868848,0,16903461067,11346318961,8563500000,5557142106,555940000,4087569944,1008090000,17315410085,1178732835,15563504253,8291716125,14880783,509595759,475213502,46803310,31654711,3002564089,2931975475,0,70588614,18831922650,15742389396,3084533254,0,16210249656,10902809656,8249915828,5307440000,5287440000,5624237083,1008090000,355,358,same
38,open,gyeonggi,96,20061013,346,general_hospital,67068990371,0,63496177471,29793955850,2592034969,5335543642,2841474870,324138415,505165812,19360618174,18244190311,183244162,1116427863,1.02E+11,96389173566,2114020000,0,86697249913,37895352593,8416499288,48801897320,41124897062,34804436455,10929718196,65706545267,0,60340378228,27928340890,2037275796,5641498192,2593366043,273203545,1488741098,18493075097,17642665447,206724822,850409650,1.01E+11,96234520243,776051000,0,85088583901,68468775764,12012999075,16619808137,9711297565,34650587619,11281035172,606,633,change
39,open,seoul,119,19820421,48,hospital,9293955823,0,10980487018,5578216390,125260866,235115549,231104453,0,-1796385878,1500644005,1358172426,0,142471579,8642146868,8475546868,0,0,7907162972,7260543588,6257142374,646619384,0,2235627901,6019553199,10787185619,0,11651916411,6879270163,151972901,232810613,232600533,0,-945568504,1669906019,1562542144,0,107363875,8701061722,8534461722,0,0,7338953962,6135746287,5306693057,1203207675,0,3032013779,6019553199,117,135,change
42,open,daegu,43,20080128,252,hospital,13927661065,743799451,11624015409,7097650666,8217133,350522595,350522595,231296213,986244530,2615974636,2593840426,2515649444,22134210,21430590591,20987077212,462000,0,12098966480,10683568951,7729516293,1415397529,0,11947598747,0,11919221630,585579999,9874112423,5099015290,2668341,359155384,322794083,0,1103042165,2483380503,2455009853,1858141357,28370650,22580354975,22157948118,462000,0,11711993007,2709993007,1525239973,9.00E+09,8.90E+09,13351742471,0,164,164,same
44,open,gyeongbuk,114,19961210,66,hospital,24074718560,6429351944,16603254922,11567304900,1508636487,2061558066,222096329,92501890,396688225,3683441982,3545415312,0,138026670,15044378768,14717396768,326982000,0,14812671115,11520604709,6825021917,3292066406,0,3915149635,0,23915748030,6161905349,16493932169,11226127320,1477795614,2292094710,262606431,87463140,358148276,3130415687,2994673619,0,135742068,15352993727,15105021727,247972000,0,14964948004,11922118304,7686834397,3042829700,0,3518461410,0,266,244,same
45,open,gyeongbuk,7,20040601,196,nursing_hospital,9096548420,0,8732286589,4287374108,33716293,286024540,268520208,18664150,93289434,1243335796,1146867994,0,82356623,9779431803,9635402159,32577000,0,10767212539,8132532886,6658527565,2634679653,1998560000,255555060,-744444940,8643688127,0,8261377198,3956761543,69718027,316058310,280889707,21299300,114671346,1074828099,1057855758,0,0,10907594943,10598250599,32577000,0,10538805841,1658360496,962739000,8880445345,8880445345,1443617201,443617201,156,153,same
47,open,daegu,40,19971231,137,hospital,25388522198,5799018072,19474790132,12205737320,469549977,368301439,330071049,160871190,55091342,2332360925,2090377954,1254000,241982971,32782058193,32684163193,68895000,0,21839514233,12125402803,6408261456,9714111430,2596212250,13274904885,13752084380,22997709353,5452890556,18612496373,11874492700,501767174,636319450,400809600,0,-1202229852,2132311377,1923416004,1254000,208895373,20399628377,20113023377,233785000,0,23064210591,13824175225,8061963932,9240035366,2.62E+09,-532270837,0,243,224,same
49,open,gyeongbuk,172,20030318,63,hospital,14802668835,1462372502,12946015815,8418942090,75897969,350360910,322501564,9915370,109902207,894536014,653358359,0,241177655,21451059510,21318451510,132608000,0,16639679773,8751511234,6106319856,7888168539,6064390000,5705915751,4179247927,14336147847,1536435665,12463857309,8207703010,56514708,269317716,235996820,12277740,110774125,836277606,645431409,0,190846197,15151838824,14712130824,147608000,0,10392102886,6201936861,4538615543,4190166025,3533230000,5596013544,4069345720,148,140,same
50,open,gangwon,128,20010821,149,hospital,58201450435,8002571377,48778584637,21839686580,418567384,383067082,296607165,578397450,877397273,6707079632,6015740971,14538250,691338661,36060444883,33911264854,7.93E+08,0,32936293856,16022058091,6066075906,16914235765,5.94E+09,9831230659,26928,55675951519,6228445364,44832427518,19701272360,286410207,2878319088,471474568,192228400,1830941356,7762225881,7144963104,19370000,617262777,37587470374,35412478668,9.05E+08,0,37247076511,17806574974,8574163266,19440501537,8374475000,8102619744,26928,418,418,same
51,open,seoul,23,20080225,406,nursing_hospital,16732825088,2568596158,12355081959,7040943933,40114330,375248502,343800103,299015472,1174997327,2852257400,2730376047,2531896852,121881353,37045300701,34814625429,0,0,31260502979,21212502979,5657072507,1.00E+10,8.70E+09,8637055122,0,17382142356,2550276626,12479346835,6825087415,93110393,1116843207,448027970,120091805,1208694276,2271917969,2074443425,1852879362,197474544,38429135816,35278135816,0,0,33326286400,22864286400,6143827922,1.05E+10,9.30E+09,7374767385,0,249,253,same
52,open,gyeonggi,96,20010202,0,traditional_clinic,13207438120,2301603808,10269216425,5671130470,15051797,314375353,172718176,68212895,269081436,2042506734,1914822836,0,127683898,8963332085,8097412639,61340600,0,6926195411,6901195411,5631111110,2.50E+07,0,4079643408,0,11835954883,1648423124,9907985262,5963381150,43262276,313362395,156262167,0,9446378,2122994887,1969267967,0,153726920,8822733591,8103954776,118843000,0,6491095906,6466095906,5764444442,2.50E+07,0,4454632572,0,93,95,same
53,open,gyeonggi,97,20080930,78,nursing_hospital,6859738630,471712908,6693224258,3662477466,184397552,158090415,157639434,0,-278891399,1028775130,943187548,20758790,85587582,10034376460,9530157739,346880000,0,8458883643,7244379105,5332648695,1214504538,0,2604267947,0,7570750562,477437525,6914469482,3465553460,124474798,180592251,178052542,0,122726102,836181704,741337176,19766090,94844528,10294749851,9796591822,348080000,0,8247772209,7000122291,3128973415,1247649918,0,2883159346,0,94,90,same
55,open,incheon,141,19930708,232,general_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,323,same
56,open,jeonnam,33,20040730,584,nursing_hospital,21793838320,904780292,18951985137,12781902660,610626714,1202445218,169551969,371350880,973903507,17696396607,17606214680,0,90181927,20178273850,19972987375,99300620,0,12276250672,6924378849,5.00E+09,5351871823,0,25598419785,0,21798408033,842205893,17932268744,12006426230,263512591,1914171812,256108672,400375710,972898465,16601464461,16534795174,3.38E+08,66669287,19374524387,19088379056,213887420,0,11473586047,7023572554,5.00E+09,4450013493,0,24502402801,0,323,323,same
57,open,jeonnam,38,20080923,101,nursing_hospital,8809012224,0,8387238471,3412376547,24733405,306102348,274342243,11757920,128646890,983586111,812509700,240175801,171076411,15852064318,15622064318,2.30E+08,0,8252415016,6167030552,4732030670,2085384464,2085384464,8583235413,0,8933886580,0,8436754281,3360017759,144845,256413209,176662516,0,240863935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,same
58, close,gyeonggi,168,20130206,132,nursing_hospital,2681765580,180200922,2014579640,936645110,59924069,428721218,284069476,0,118187869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093132140,142854148,1751389576,916482193,21947086,147298317,113100675,0,73537185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,change
59,open,choongnam,94,20140318,258,nursing_hospital,8546126935,0,6737509250,3830658980,6467580,539890179,513787982,0,1275195086,2887867418,2550065516,1843823564,337801902,20854146408,20546016366,263862900,0,11737791374,5531070657,4665480000,6206720717,5856720717,12004222452,6505224190,8400143979,0,6970727978,4230171230,41032041,588920467,510833633,0,881527575,2889902409,2405504247,1898913934,484398162,20815193408,20495356610,267292900,0,12976068451,6426152497,5372799940,6549915954,6549915954,10729027366,6505224190,137,137,same
60,open,gyeonggi,74,20031202,53,hospital,9945697033,2518533380,7838979629,4001863380,58259710,204524605,176306594,0,-558080871,2308999637,2148142259,970975608,160857378,6430171867,6356611667,2060000,0,7054460794,6031625979,4664011450,1022834815,0,1684710710,0,9947007996,2694808738,7435854028,3923363240,126181664,288251902,160406476,0,-345725008,3217332997,2767906283,1056078929,449426714,7032585816,6996906598,2060000,0,6928901664,3528901664,1647238490,3.40E+09,3.00E+09,3321017149,0,90,90,same
61,open,gyeonggi,24,20080402,164,hospital,6480419010,0,7611627015,4383683589,5905707,163905774,163868524,0,-1289208072,1759257575,1759257575,0,0,7267490563,6917490563,3.50E+08,0,6979032891,5699212493,4614380000,1279820398,0,2047715247,0,6601941710,0,6415569775,4253093144,14062706,183384001,165332026,0,17050640,2093419276,2082118494,0,11300782,9288879664,8912147271,376732393,0,6012014148,6012014148,5036101232,0,0,5370284792,0,99,99,same
62,open,gyeonggi,120,20050224,0,clinic,1.51E+11,98503322990,49547764666,3726935398,1407328026,2640421560,55331120,305400448,992483835,42808356695,41791456468,70588560,1016900227,26198928184,17262009402,5488177269,0,39545947657,29850842393,4.60E+09,9695105264,0,29461337222,43194221,1.36E+11,86581590331,45089804448,3101032367,1398482994,2532895583,29245848,484014835,2325907457,40818694405,39705368784,27006689,1113325621,17844411250,11767377955,4700024269,0,30194252268,21517596259,0,8676656009,0,28468853387,43194221,454,425,same
63,open,gyeongnam,5,20130409,206,general_hospital,20425771788,4133216227,14902797655,10796721206,263511030,1041124875,691712214,189294110,422849951,5021154737,4648822830,0,372331907,35966517012,34950096428,877111000,0,24367583508,9299760234,4579304677,15067823274,9630291360,16620088241,0,20381268714,4352160507,14566494451,10238355380,271529989,1218739313,859039602,12264120,503140312,5548918205,5252864326,2651482168,296053879,35512534044,34370840460,935991000,0,24814213959,8077364409,0,16736849550,10281084209,16247238290,0,205,226,same
65,open,gyeonggi,177,20110512,126,hospital,27912697687,2442931060,17957418899,7511234837,2224248,4010569368,67068540,794522148,2709480460,20282084651,20227834651,2823876231,54250000,28041839650,24488939650,3348500000,0,25693380103,14089898386,4531865427,11603481717,2833260000,22630544198,0,26910431794,2044592472,16731313050,7071659787,30863345,4224260363,165132802,904909800,3036219454,14241633015,14152068015,2340607443,89565000,28684510208,25459010208,3225500000,0,23005079485,14946322111,6469865427,8058757374,3.00E+09,19921063738,0,210,210,same
67,open,gyeongnam,32,20081231,203,nursing_hospital,6898958895,367242573,6562792750,4054406320,19204746,178026082,164109704,0,-189897764,3876992511,3856190100,519640803,20802411,10183155603,10157084802,2.00E+07,0,11687971008,7717382706,4466074805,3970588302,3.28E+09,2372177106,0,6877093780,320184757,6107040954,3858663320,229468784,350226471,122947274,25867610,303242772,986631677,969340687,665994612,17290990,9806954755,9006892501,2.90E+08,0,8011136359,2339030968,1567966980,5672105391,4864392720,2782450073,0,131,131,same
69,open,jeonbuk,146,20130405,244,nursing_hospital,7821761860,570611458,6535756355,4255071060,25358210,150306551,123776039,110617930,479827776,1937646633,1904418104,1162642246,33228529,10066923187,9705726687,361196500,0,5658750123,4569965408,4.25E+09,1088784715,0,6345819697,0,7757509710,774152368,6104949683,4177229340,67049558,183603605,149848205,149222747,612630865,1697438159,1669186499,944233662,28251660,9872619411,9587869411,284750000,0,5632740365,727298926,0,4905441439,4.25E+09,5937317205,0,127,130,same
70,open,gyeonggi,169,20030227,139,hospital,9864586051,1812608644,7638166747,4291169759,26998793,231404814,224230817,0,209404639,1628712781,1517296889,1123786007,111415892,9157833654,8876719660,109963000,0,9663114002,7791046199,4213450218,1872067803,1872067803,1123432433,0,10151769790,1787491379,7577555945,3780335487,66796385,277661762,197908239,11204514,564652575,2314354182,2185870187,1029737071,128483995,8493320578,8030347958,93963000,0,8271924925,8271924925,5187932864,0,0,2535749835,0,120,96,same
71,open,jeonnam,106,19880408,196,general_hospital,26649630072,6252852956,20306453789,11666631108,399644546,303852417,251559018,107505958,78609498,4517239853,4167397009,729383833,341249150,16468265301,16313545641,0,0,12335548150,7380578150,4164731812,4954970000,4803970000,8649957004,0,26551086740,6678186631,19594874669,11069279182,355181151,352788181,327180012,30376570,250041840,2748360097,2507320716,406449004,235056073,18058943771,17804224111,0,0,12235956362,6085876362,2484527313,6150080000,5999080000,8571347506,0,295,295,same
72,open,daegu,41,20070903,277,nursing_hospital,5662108342,504715781,4888397798,3248961978,48982266,127371257,127358463,17622700,172983072,1517867972,1492894239,661883804,24973733,8637470906,8256788765,183950000,0,5065088399,5065088399,4104923980,0,0,5090250479,1237935879,5573254145,474333325,4943101009,3295531076,64103659,94726634,94726521,6953170,118243666,2481340492,2372574150,884070023,108766342,6138483376,5288647104,413950000,0,3702556461,3702556461,3606957043,0,0,4917267407,1064952807,86,86,same
73,open,daegu,44,20060818,166,hospital,12672510066,1319791505,11298752426,6514154575,0,16039299,0,0,37926836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13464684955,1459632131,11549318165,5890794030,0,500784,0,0,455233875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,same
74,open,seoul,1,19940425,28,traditiona_hospital,8872426915,964124895,7638919868,4488957824,19153521,216088892,204479315,72446781,0,1302114675,1186742960,2671059,97648359,8347311458,8178953358,2200500,0,6749131935,5759131935,4.00E+09,9.90E+08,9.90E+08,2900294198,0,8632333447,899417417,7616309072,4283770860,132492468,218881005,199357358,30218421,0,1002794432,891514383,0,80868500,8581435416,8368728596,25520500,0,5958277645,5956277645,4992758274,2.00E+06,0,3625952203,0,,,NA
75,open,gyeongbuk,30,19980529,249,general_hospital,40485538992,0,38155097034,19365828922,2708324415,4972290235,331974734,24702819,41773319,7146109670,6312031337,4738034539,834078333,31591780617,29580149787,1620463850,0,31743390761,13879186020,4.00E+09,17864204741,4816590787,6994499526,4605417526,39135058238,0,36523815828,17990618386,2822023466,5259078312,440987617,107389328,66798236,7146293858,5931530446,3604655257,1214763412,31283270500,29955670020,841433500,0,31476838151,13571758700,5543887572,17905079451,8375386395,6952726207,4684644207,300,300,same
77,open,gyeongbuk,84,20070813,199,nursing_hospital,8520319018,489603680,7518263612,4598249389,20648206,409327374,177681043,0,123772558,837642749,799803379,749930732,37839370,7361808382,7244449230,81497820,0,6438049294,5183049294,3991000660,1.26E+09,2.05E+08,1761401837,665969467,7098635900,362034237,6233968629,3716436763,19128855,399055505,178103206,0,122706384,1112035283,1077215983,903254823,34819300,7491063697,7330564741,132140780,0,6965469701,5634943723,3902941827,1330525978,280525978,1637629279,542196909,73,76,same
81,open,seoul,87,19980605,57,hospital,14717584270,0,13908695044,7926864654,49816088,764745600,720643772,24921279,69038435,3554141428,3343728987,166530,210412441,30433299811,29958304591,164383540,0,23326685163,8579119711,3849453470,14747565452,14536911032,10660756076,-437898144,13998259456,0,13177786628,7016920868,79093463,811141041,776276112,2912920,85512330,3635134795,3410960427,5032260,224174368,31053109705,30448730617,153253540,0,24096526859,9286351823,3849453470,14810175036,14630647836,10591717641,-506936579,119,137,same
82,open,gyeongnam,32,20091231,148,nursing_hospital,3957464500,156035904,3360237640,2273718273,0,0,169068842,0,441190956,1404529812,1401889812,1361721970,2640000,6787707000,6752177000,35530000,0,5415331190,5415331190,3815750000,0,0,2776905622,0,3506758290,141777635,2775030618,1863550212,0,0,261413112,0,589950037,1234391621,1231404431,1209699017,2987190,6770007000,6747477000,22530000,0,5444962069,5444962069,3860164346,0,0,2559436552,0,74,74,same
83,open,jeonnam,56,20000929,114,hospital,15060003766,0,15074264045,8253147137,270096627,203222162,199592678,3654150,48960036,2086486219,1807214804,1538642198,279271415,12230093732,12217443732,12650000,0,7879246664,6826395749,3.79E+09,1052850915,618359290,6437333287,0,15165202412,0,14988833787,7910843159,325576389,321117210,230702235,7362110,173465694,2157779611,1875223654,1679565033,282555957,11777324736,11764674736,12650000,0,7519979281,3300808649,1138800000,4219170632,3715001000,6415125066,0,265,265,same
84,open,gyeonggi,88,20080702,214,nursing_hospital,11244193296,0,11208509517,5154797587,11631594,323712539,323712539,0,-276397166,3977699376,3903311705,2249237370,74387671,19793004043,19763004043,3.00E+07,0,13071062162,9092238986,3.75E+09,3978823176,2984710000,10699641257,-1832358743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,same
87,open,gyeonggi,120,20130314,327,nursing_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,203,same
89,open,gyeongbuk,114,20070907,178,nursing_hospital,4191769346,136016332,3857345612,1834455208,846230,739267544,182699934,0,-540013912,1013757844,991673174,12610000,15967710,8723965989,8402711508,1.65E+08,0,8803424995,3803424995,3431174794,5.00E+09,4.70E+09,934298838,0,4084908490,195243931,3548622780,2186997290,58388273,262816972,177575770,0,136613080,398263829,369830009,0,28433820,9030617651,8790843170,1.65E+08,0,7954568730,3944568730,833447900,4.01E+09,4.00E+09,1474312750,0,51,80,same
91,open,daegu,40,20080201,181,hospital,12567340850,1240875020,10386665883,4830903110,53903404,178144816,146768216,151376981,664181554,2154333443,2124356127,1339153640,29977316,9180002212,8435943552,474058660,0,5363246293,4718029943,3396783530,645216350,4.20E+08,5971089362,2791112674,12472587612,1219979164,10065794317,4505934475,59755373,190228784,154483096,174571385,881769335,1897270716,1865064189,1301005669,32206527,9006741814,8722358554,134383260,0,5597104722,5266541038,3858445410,330563684,0,5306907808,2126931120,162,161,same
